歷 A-V-1 誰的歷史？誰留下的史料？誰寫的歷史？,地 Aa-V-1 地理學的傳統與觀點。,公 Aa-V-1 公民身分如何演變？為什麼從特定群體，漸次擴張至普遍性身分？
歷 Ba-V-1 我群界定、原住民與原住民族的分類。,地 Aa-V-2 研究問題的發想。,公 Aa-V-2 我國的公民權利如何發展與落實？
歷 Ba-V-2 當代原住民族的處境與權利伸張。,地 Aa-V-3 資料的來源與蒐集。,【延伸探究】為什麼我國憲法、原住民族基本法賦予原住民族具有民族的地位和自治的權利？對於原住民族的公民身分有什麼意義？
歷 Bb-V-1 早期移民的歷史背景及其影響。,地 Aa-V-4 資料整理、分析與展示。,公 Ab-V-1 為什麼人是權利主體，且享有平等的權利能力？為什麼在自然人之外，還有法人的概念？
歷 Bb-V-2 戰後東來的各方移民。,地 Aa-V-5 問題探究：解決問題的策略與步驟。,公 Ab-V-2 為什麼部落、原住民族各民族、原住民族都有權利能力？
歷 Ca-V-1 臺灣歷史上的商貿活動。,地 Ab-V-1 地理資訊的組成與特性。,公 Ab-V-3 民主國家中，人民或政府如何才會被賦予法律上的義務或責任( 包括學生參與校園民主及學生自治的責任 )？
歷 Ca-V-2 臺灣歷史上的土地問題。,地 Ab-V-2 地理資訊系統的功能。,公 Ab-V-4 國家的權力行使，為什麼必須權責相符？
歷 Cb-V-1 原住民族的語言、傳統信仰與祭儀。,地 Ab-V-3 問題探究：地理資訊的生活應用。,【延伸探究】高級中等教育法對學生在學校的權利與義務有何規範？對於高中生的影響為何？高中學生在學校還有其他權利與責任嗎？
歷 Cb-V-2 多元的信仰與祭祀活動。,地 Ac-V-1 地圖本質與要素。,公 Ac-V-1 國家主權和人民的日常生活有什麼關係？
歷 Cb-V-3 從傳統到現代的文學與藝術。,地 Ac-V-2 地圖種類及其用途。,公 Ac-V-2 為什麼公民身分是現代國家認同的基礎？
歷 Da-V-1 從地方到中央。,地 Ac-V-3 問題探究：地圖判讀與使用。,公 Ac-V-3 為什麼多元身分認同的建構、肯認與保障，和國家政策關係密切？
歷 Da-V-2 國際局勢與臺灣地位。,地 Ba-V-1 氣候要素。,公 Ad-V-1 國際人權公約與相關國際組織(包括聯合國與非政府組織等)如何促成普世人權的實現？
歷 Da-V-3 教育、語言與基礎建設。,地 Ba-V-2 大氣環流與洋流。,公 Ad-V-2 我國如何將國際人權公約的相關主張融入法律制度中？
歷 Db-V-1 日治時期的人權情況與政治、社會運動。,地 Ba-V-3 氣候類型。,公 Bb-V-1 為什麼人民的志願結社受到相關法律的規範？會產生什麼影響？
歷 Db-V-2 戰後的民主化追求與人權運動。,地 Ba-V-4 氣候與自然景觀帶。,公 Bc-V-1 社會規範如何維護社會秩序與形成社會控制？在什麼情形下，規範會受到質疑而改變？
歷 Db-V-3 戰後的社會運動。,地 Ba-V-5 問題探究：氣候、水資源與人類生活。,公 Bc-V-2 【延伸探究】社會規範對個人追求自我實現以及社群的資源分配，會產生哪些影響？就我國而言，既有性別文化規範如何影響個人追求自我實現？性別文化規範和性騷擾、性暴力或性別霸凌的關係為何？
歷 F-V-1 可以在什麼樣的脈絡中討論中國史？,地 Bb-V-1 地形營力。,公 Bd-V-1 我國國家主權在憲法上如何界定？有何爭議？
歷 Ga-V-1 傳統政治權威的類型。,地 Bb-V-2 各類地形系統。,公 Be-V-1 民主國家有哪些常見的政府體制？與我國的政府體制有什麼差異？
歷 Ga-V-2 戶籍、土地或賦役與國家統治的關係。,地 Bb-V-3 地形辨識。,公 Be-V-2 民主國家中央與地方政府的權力分立原則有哪些？我國中央與地方政府之間如何劃分權限？
歷 Gb-V-1 民間社會組織的型態。,地 Bb-V-4 問題探究：地形與人類生活。,【延伸探究】我國原住民族追求自治的訴求有哪些？與目前的地方自治有哪些基本差異？為什麼？
歷 Gb-V-2 社會組織與國家的互動。,地 Bc-V-1 人口成長與人口轉型。,公 Bf-V-1 法律如何制定、修改與廢止？
歷 Ha-V-1 從漢、晉到宋、元時期東亞人群移動的特色與影響。,地 Bc-V-2 人口移動與人口分布。,公 Bf-V-2 法律如何解釋與適用？
歷 Ha-V-2 明、清時期東亞人群移動的特色與影響。,地 Bc-V-3 問題探究：人口動態與環境負載力。,公 Bg-V-1 憲法與基本權利的保障，有什麼關聯？基本權利的限制，有何範圍？國家如何促進基本權利的實現？
歷 Hb-V-1 十九世紀以後東亞的人群移動。,地 Bd-V-1 聚落系統。,公 Bg-V-2 憲法如何規範國家公權力之行使以保障人權？
歷 Hb-V-2 十九世紀以後東亞人群移動的變遷及其影響。,地 Bd-V-2 運輸與交通。,【延伸探究】國家必須經由立法授權才能限制人民的基本權利，什麼樣的限制是侵犯人性尊嚴而不得為之？
歷 Ia-V-1 西方文化傳入東亞的影響。,地 Bd-V-3 中地體系。,公 Bh-V-1 人民日常生活如何受到行政法的影響？行政法有哪些重要的原理原則？
歷 Ia-V-2 東亞國家對西方帝國主義的回應。,地 Bd-V-4 問題探究：中地概念與生活。,公 Bh-V-2 行政行為要達成實質正義，為什麼必須先有公平合理的程序？行政程序有哪些基本原則？
歷 Ia-V-3 民間社會與現代化的激盪。,地 Be-V-1 都市成長與都市化。,公 Bh-V-3 人民的權益因行政公權力違法或不當而受損時，人民如何尋求行政救濟？
歷 Ib-V-1 東亞地區人民在二十世紀重大戰爭中的經歷。,地 Be-V-2 地價與土地利用。,公 Bi-V-1 國家為什麼要以刑罰的方式處罰人民？犯罪的一般成立要件有哪些？
歷 Ib-V-2 共產主義在東亞的發展歷程及對局勢的影響。,地 Be-V-3 都市內部空間結構。,公 Bi-V-2 為什麼罪刑法定主義是刑法的最高原則？有哪些重要內涵？
歷 Ib-V-3 區域合作與經貿結合的追求。,地 Be-V-4 問題探究：都市機能與城鄉關係。,公 Bi-V-3 國家如何追訴、處罰犯罪行為？為什麼被告未經審判確定有罪前，應推定其為無罪？為什麼被告與被害人的權利應受到保障？
歷 K-V-1 可以在什麼樣的脈絡中討論世界史？,地 Bf-V-1 產業系統與類別。,公 Bi-V-4 法院的事實認定與自由心證主義。
歷 La-V-1 神話與哲學。,地 Bf-V-2 產業分布與區位選擇。,【延伸探究】「刑法的最後手段性」或「刑法的謙抑思想」與現代社會對公平正義的期待有何關聯？為什麼？
歷 La-V-2 中古基督教世界。,地 Bf-V-3 資訊革命與知識經濟。,公 Bj-V-1 為什麼消費、勞動契約的雙方不能享有完全的締約自由，必須被多加限制？如何判斷其限制的合理性？
歷 La-V-3 文藝復興。,地 Bf-V-4 問題探究：產業發展與變遷。,公 Bj-V-2 所有權的物權特性與保障。
歷 Lb-V-1 從宗教改革到啟蒙運動。,地 Bg-V-1 區域互賴與不平等交換。,公 Bj-V-3 配偶之間的財產應如何規範方屬合理？
歷 Lb-V-2 資本主義與社會主義。,地 Bg-V-2 擴散與反吸。,公 Bj-V-4 現行民法繼承制度如何保障人民的財產權？
歷 Lb-V-3 民主傳統及其現代挑戰。,地 Bg-V-3 核心-半邊陲-邊陲體系。,【延伸探究】保護私有財產(例如智慧財產權與所有權)與促進公共利益如何調和？
歷 Ma-V-1 伊斯蘭文化的發展與擴張。,地 Bg-V-4 問題探究：區域發展的反思。,公 Bk-V-1 為什麼少年的刑事司法程序與成年人不同？
歷 Ma-V-2 伊斯蘭世界與西方的互動。,地 Ca-V-1 臺灣自然環境的特殊性。,公 Bl-V-1 廠商與政府有什麼資源？如何決定資源的用途？
歷 Mb-V-1 歐洲與亞洲的交流。,地 Ca-V-2 臺灣的原住民族與南島語族。,公 Bm-V-1 價格高低對誘因的影響。
歷 Mb-V-2 歐洲與非、美兩洲的交流。,地 Ca-V-3 臺灣的移民社會與多元文化。,公 Bm-V-2 政府政策如何影響誘因，進而改變人民行為？
歷 Mb-V-3 反殖民運動的發展。,地 Ca-V-4 問題探究：臺灣經濟發展與世界的關聯。,公 Bn-V-1 專業分工的影響。
歷 Na-V-1 冷戰期間的政治局勢。,地 Cb-V-1 東亞文化圈形成的環境背景。,公 Bn-V-2 決定一國進出口某項商品的主要因素。
歷 Na-V-2 社會運動與反戰。,地 Cb-V-2 經濟崛起與轉型的歷程。,公 Bo-V-1 消費者對某單位產品的願付價格是如何決定的？
歷 Nb-V-1 現代性與現代文化。,地 Cb-V-3 人口與環境問題。,公 Bo-V-2 某產品的市場需求線是如何決定的？
歷 Nb-V-2 「西方」與「反西方」。,地 Cb-V-4 問題探究：國家間的競爭與合作。,公 Bo-V-3 需求的變動與需求量的變動有什麼不同？
歷 Nb-V-3 全球化與多元文化。,地 Cc-V-1 東西文化接觸的環境背景。,公 Bo-V-4 廠商某單位產出之願售價格如何決定？
,地 Cc-V-2 多元的文化景觀。,公 Bo-V-5 某產品的市場供給線是如何決定的？
,地 Cc-V-3 經濟發展與轉型。,公 Bo-V-6 供給的變動與供給量的變動有什麼不同？
,地 Cc-V-4 問題探究 1：東南亞國協的發展與挑戰。 問題探究 2：南亞新興經濟體的發展與挑戰。(以上兩個問題探究可擇一執行),公 Bq-V-1 國民所得如何衡量？
,地 Cd-V-1 自然環境背景與位置的特殊性。,公 Bq-V-2 國內生產毛額如何衡量？
,地 Cd-V-2 原住民族、移民與移民社會的發展。,公 Bq-V-3 國民所得與國內生產毛額的關係。
,地 Cd-V-3 產業發展與地緣樞紐。,公 Ca-V-1 民主治理的核心概念是什麼？我國有哪些民主治理的實踐？
,地 Cd-V-4 問題探究：原生物種與環境永續。,公 Ca-V-2 民主治理如何課責？
,地 Ce-V-1 自然環境的特殊性。,【延伸探究】我國民主治理的實踐經驗中，存在哪些挑戰及困境？
,地 Ce-V-2 文化異同。,公 Cb-V-1 媒體與社群網路的所有權與產製過程，如何影響公共意見的形成？
,地 Ce-V-3 資源爭奪。,公 Cb-V-2 公共意見形成過程中，可能存在哪些媒體近用與媒體再現(可包括族群、性別、性傾向或身心障礙等群體之再現)的不平等？
,地 Ce-V-4 問題探究：區域紛爭與發展機會。,【延伸探究】在臺灣社會的實例中，公共意見如何影響公共政策的制訂？如何發揮對政府監督與制衡的作用？
,地 Cf-V-1 自然環境與文明發展的關係。,公 Cc-V-1 我國公民如何透過選舉參與中央及地方政治？
,地 Cf-V-2 工業革命與海外發展。,公 Cc-V-2 除了選舉之外，我國還有哪些重要的政治參與形式及管道？
,地 Cf-V-3 區域競爭、合作與歐盟。,【延伸探究】社會處境不利的群體面臨什麼樣的政治參與與資源上的不平等？
,地 Cf-V-4 問題探究：西方文化圈的形成與特色。,公 Cd-V-1 為什麼勞動參與可以促成社會發展與經濟永續？
,地 Cg-V-1 美國的環境背景。,公 Cd-V-2 「個別勞動權益」和「集體勞動三權」的內涵為何？為什麼政府需透過個別與集體勞動法制相關規定來保障平等的市場勞動參與？
,地 Cg-V-2 多元族群共同塑造的文化特色。,【延伸探究】自主的勞動關係為什麼是重要的？如何發展自主的勞動關係？
,地 Cg-V-3 產業發展與都市文明。,公 Ce-V-1 市場價格如何決定？
,地 Cg-V-4 問題探究：美國發展的前景與挑戰。,公 Ce-V-2 市場機能如何影響資源分配？
,地 Ch-V-1 南方區域的意涵。,公 Ce-V-3 為什麼經由市場機能可以達到經濟效率？
,地 Ch-V-2 自然環境背景。,公 Ce-V-4 為什麼政府的價格管制會降低經濟效率？
,地 Ch-V-3 列強入侵與殖民。,公 Cf-V-1 單一廠商漲價與所有廠商聯合漲價之效果有何不同？
,地 Ch-V-4 殖民地式經濟。,公 Cf-V-2 為什麼政府需要關心廠商的聯合漲價？
,地 Ch-V-5 問題探究：現代發展的優勢與挑戰。,公 Cg-V-1 外部成本如何影響我們的日常生活？
,地 Ci-V-1 發展條件的空間差異。,公 Cg-V-2 政府如何解決外部成本的問題？
,地 Ci-V-2 交通革新與全球化。,公 Da-V-1 個人權利跟公平正義(包括程序、匡正等)有什麼關聯？每個人都受到「無差別對待」對於追求社會公平正義有什麼重要性？
,地 Ci-V-3 經濟地理空間重組。,公 Da-V-2 群體權利跟公平正義有什麼關聯？在什麼情形下，特定群體受到「差別對待」會成為追求社會公平正義的積極原則？
,地 Ci-V-4 世界都市。,公 Da-V-3 為什麼社會的不同群體，對於「公平正義」的理解與追求會有衝突？
,地 Ci-V-5 問題探究：全球化的貢獻與挑戰。,【延伸探究】民主社會如何解決「公平正義」有關的爭議？
,,公 Db-V-1 國家為促進社會安全，為什麼需要社會救助、社會福利和社會保險等多種制度的規劃？
,,公 Db-V-2 我國社會安全制度有哪些常見的難題與辯論( 包括公平、責任與效率之間如何權衡)？
,,【延伸探究】全民健保如何能確保國民享有合理的醫療資源，但又能避免資源濫用？
,,公 Dc-V-1 不同文化之間為何會有摩擦或衝突？
,,公 Dc-V-2 我國目前有什麼具體政策，促進不同文化之間的平等？
,,【延伸探究】實現文化平等與普世人權有什麼關聯？二者之間可能存在的一致性與緊張關係是什麼？為什麼？
,,公 Dd-V-1 全球化對國家治理帶來哪些挑戰？我國面臨的議題有哪些？
,,公 Dd-V-2 我國在全球競爭與合作關係中的地位與處境為何？臺海兩岸關係如何影響我國的國際地位與處境？
,,公 Dd-V-3 全球永續發展的理念有哪些？全球化及永續發展之間有什麼緊張關係？個人與國家如何面對這些挑戰？
,,【延伸探究】國際非政府組織(包括國際原住民族組織或環境組織)在全球永續發展議題有哪些作為或行動？面臨哪些困境？
,,公 De-V-1 科技發展如何提升公共生活的參與？又會造成什麼樣的參與不平等？
,,公 De-V-2 科技發展會衍生哪些倫理或法律問題？
,,【延伸探究】為什麼追求科技發展時要重視「科技風險治理」？
,,公 Df-V-1 為什麼會產生貿易自由化？
,,公 Df-V-2 貿易的管制與開放對哪些人有利？對哪些人不利？
,,公 Df-V-3 世界貿易組織在國際間所扮演的角色有哪些？